AvgOfEasting,AvgOfNorthing,SiteID,Abbreviation
322569.6143,4019419.924,75,LJA
324140.4094,4019820.156,71,CON
325297.3618,4023503.756,106,LGU
331778.0721,3983112.564,85,SNS
332194.1336,3985928.712,84,SNN
333430.5064,3981798.27,86,SPC
335157.3548,3976618.166,23,TCN
335692.2472,3972988.109,6,SBN
337011.0859,3960878.06,22,JCE
337596.4614,3965486.889,5,BAC
337634.666,3954680.682,78,PGM
340220.7123,3988206.904,13,APW
340542.5833,3962568.417,87,TOV
341436.2059,3969067.118,12,LFC
341684.3995,3976656.105,11,OJI
342754.4416,3982257.593,9,BLC
343401.6833,3963061.524,21,HME
344911.8438,3974292.535,114,SSP1
344969.3993,3974547.777,115,SSP2
345811.5909,3986847.409,10,RPN
347869.8833,3964988.517,2,TWS
348156.964,3995217.639,77,MPB
348959.2113,3976389.493,4,BRC
349002.0771,3978251.882,123,OAC2
349048.955,3978238.654,109,OAC3
349336.9346,3971051.832,18,ELF
349989.9079,3980570.367,50,
351759.563,3991220.486,25,VCW
351928.5238,3952579.524,66,BOL
351939.1897,3956368.083,82,SAYS
352019.4687,3983736.873,126,TWC2
352273.7089,3983990.542,127,TWC3
352392,3964065,178,gp162
352393,3963658,166,gp145
352395,3963841,172,gp153
352398,3963263,152,gp127
352405,3962848,140,gp109
352422.3652,3974165.871,17,UWC
352588,3962602,133,gp101
352595,3963459,159,gp137
352598,3963652,167,gp146
352599,3963054,147,gp119
352599,3963852,173,gp154
352797,3963452,160,gp138
352799,3962653,135,gp102
352800,3962859,141,gp111
352800,3964055,179,gp164
352801,3963253,153,gp129
352807,3963647,168,gp147
352974.4868,3997341.189,8,CYB
352983,3962633,136,gp103
352989,3963851,174,gp156
353000,3963647,169,gp148
353000,3963257,154,gp130
353007,3962849,142,gp112
353011,3963054,148,gp121
353194,3962859,143,gp113
353194,3963647,170,gp149
353195,3963250,155,gp131
353197,3963056,149,gp122
353198,3964061,180,gp166
353199,3963853,175,gp157
353199,3963454,161,gp140
353252.2799,3963725.439,108,MCN
353349.9834,3957615.738,24,SJC
353392,3962664,137,gp105
353392,3963054,150,gp123
353396,3963853,176,gp158
353399,3963254,156,gp132
353399,3963449,162,gp141
353598,3962645,138,gp106
353599,3963453,163,gp142
353600,3963255,157,gp133
353601,3962853,144,gp115
353606,3963653,171,gp151
353789,3962850,145,gp116
353797,3963034,151,gp125
353799,3963446,164,gp143
353800,3962657,139,gp107
353814,3963849,177,gp160
353995,3963253,158,gp135
353996,3963453,165,gp144
353998,3963649,182,gp180
353999,3962853,146,gp117
354000,3964050,181,gp170
354450.9261,4013081.838,76,MEPS
354639.4269,4013296.97,69,CDPH
355520.7,3963173,60,SDP
355634.1381,3991070.336,48,CYC
355646.4341,3991063.931,7,CYC
356366.8758,3971387.833,81,RDC
356947.0314,3975253.238,134,alamo
357175.2959,3973763.096,105,RBS1
357177.9933,3975868.313,65,ABU
357244.8587,3973784.006,113,RBS3
357281.8922,3953257.826,1,PAL
357313.5392,3996071.605,27,MLN
357399.0704,3989252.265,20,UCC
357622.5774,3965814.012,73,EFK
358422.9406,3999759.291,26,MSP
358439.9272,3978092.209,119,VSC
358726.2848,3957048.707,39,MPC
359421.7774,3978927.035,118,VSLD
359693.3587,3981730.721,120,VSA
359791.8863,3962950.239,124,LGR1
359874.5871,3962996.388,125,LGR2
360742.2408,3962700.666,107,LOG
361831.0529,3996050.371,14,BQC
362463.7625,3969595.21,67,BRH
362615.12,3975979.192,121,VJ
363064.3894,3956956.728,41,BST
363095.3979,3978594.868,117,VSR
363791.4093,3959460.877,40,PER
364231.3741,3963244.432,15,PNE
364235.2669,3990210.97,70,CHB
364506.2062,3971789.327,89,VGR
364966.4351,4002557.083,72,CPE
365515.2753,3976592.315,64,ABR
366306.1574,3986336.689,19,MRI
366312.5022,3986334.453,49,MRI
366466.105,3982293.505,116,VTW
367028.4156,3995578.67,83,SECO
367390.8204,3971597.795,122,VG
368012.6581,3995577.672,80,POL
369475.9585,3979105.433,16,USA
372320.0915,3961692.673,102,CPU
372834.1363,3967582.962,131,bbud
373220.0347,3973436.716,112,PMW
373992.7899,3974358.784,100,CMN
374074.8911,3954794.935,95,BAL
374294.4354,3974352.664,132,cmn2
374821.9043,3975335.066,68,CAN
375355.0035,3973686.689,99,CME
375420.1893,3972447.908,110,PME
375444.4108,3971930.401,111,PMR
375620.2295,3965541.305,96,BAN
375927.8759,3974497.527,97,CAS
376859.3881,3965869.71,130,BANSCARP
377575.3631,3978616.961,46,CPS
377698.5869,3959912.296,101,CPM
378103.5106,3969986.156,45,LNL
378838.2636,3982094.997,42,MSC
379228.3886,3972939.724,79,PIPE
380306.1545,3987344.488,104,GAM
381536.0563,3978670.363,43,LHV
381571.6288,3972725.507,90,VIL
384503.7473,3960128.033,0,FWH
384567.582,3960005.906,103,FWH
384815.0457,3984188.067,44,JPE
385063.624,3959017.987,74,FRM
