Easting,Northing,TreeID,SiteID,Abbreviation
351772,3952445,BOL013,66,BOL
351779,3952456,BOL011,66,BOL
351764,3952461,BOL017,66,BOL
351846,3952487,BOL024,66,BOL
351811,3952493,BOL010,66,BOL
351875,3952510,BOL027,66,BOL
351879,3952534,BOL030,66,BOL
351881,3952535,BOL031,66,BOL
351914,3952545,BOL036,66,BOL
351914,3952581,BOL041,66,BOL
351916,3952592,BOL043,66,BOL
351924,3952599,BOL046,66,BOL
351947,3952618,BOL047,66,BOL
352056,3952635,BOL056,66,BOL
352054,3952638,BOL055,66,BOL
351991,3952639,BOL050,66,BOL
351988,3952641,BOL049,66,BOL
352055,3952647,BOL054,66,BOL
352069,3952684,BOL062,66,BOL
352057,3952714,BOL060,66,BOL
352007,3952716,BOL063,66,BOL
357230.52,3953138.276,PAL-7,1,PAL
357273.846,3953143.885,PAL-8,1,PAL
357313.441,3953161.685,PAL-9,1,PAL
357320.094,3953180.957,PAL-10,1,PAL
357365.201,3953181.452,PAL-3,1,PAL
357361.023,3953181.649,PAL-2,1,PAL
357374.614,3953223.26,PAL-1,1,PAL
357289.1,3953328.892,PAL-5,1,PAL
357277.03,3953333.45,PAL-4,1,PAL
357190.8,3953360.688,PAL-11,1,PAL
357191.883,3953363.334,PAL-12,1,PAL
374560.1353,3954348.428,BAL05,95,BAL
374472.1354,3954380.428,BAL01,95,BAL
374511.1352,3954389.428,BAL03,95,BAL
374383.1353,3954440.428,BAL02,95,BAL
374399.1352,3954452.428,BAL08,95,BAL
374432.135,3954466.428,BAL07,95,BAL
374433.135,3954467.428,BAL09,95,BAL
337690.0605,3954512.587,PGM35,78,PGM
337518.108,3954516.178,PGM39,78,PGM
374327.1349,3954526.427,BAL04,95,BAL
337902.8348,3954529.448,PGM32,78,PGM
374392.1347,3954530.427,BAL11,95,BAL
374378.1347,3954538.427,BAL13,95,BAL
337905.124,3954540.835,PGM31,78,PGM
374342.1347,3954551.427,BAL06,95,BAL
374318.1348,3954556.427,BAL10,95,BAL
337373.6893,3954560.657,PGM26,78,PGM
374294.1344,3954627.427,BAL15,95,BAL
374295.1344,3954628.427,BAL17,95,BAL
374312.1343,3954636.427,BAL19,95,BAL
374284.543,3954676.256,BAL14,95,BAL
374077.1341,3954791.425,BAL20,95,BAL
337629.7011,3954818.954,PGM1,78,PGM
374079.1339,3954821.425,BAL18,95,BAL
374064.1339,3954828.425,BAL21,95,BAL
337608.8381,3954840.863,PGM6,78,PGM
337604.8071,3954848.038,PGM9,78,PGM
373965.1335,3954930.425,BAL22,95,BAL
373954.1335,3954938.425,BAL24,95,BAL
373955.1335,3954939.425,BAL26,95,BAL
373952.1332,3954990.424,BAL23,95,BAL
373965.1332,3954995.424,BAL25,95,BAL
373964.133,3955019.424,BAL27,95,BAL
373879.1328,3955095.424,BAL28,95,BAL
337210.6619,3955109.813,PGM12,78,PGM
373858.86,3955156.423,BAL31,95,BAL
373812.222,3955180.909,BAL30,95,BAL
373158.1331,3955371.422,BAL34,95,BAL
373159.1331,3955372.422,BAL35,95,BAL
373205.1329,3955388.422,BAL33,95,BAL
373213.1328,3955401.422,BAL32,95,BAL
351557.1933,3955830.418,SAYS 5,82,SAYS
351695.1921,3955999.417,SAYS 6,82,SAYS
351647.1919,3956088.417,SAYS 7,82,SAYS
351785.1911,3956167.417,SAYS 10,82,SAYS
351701.191,3956249.417,SAYS 9,82,SAYS
352202.1872,3956732.416,SAYS 1,82,SAYS
352143.1874,3956735.416,SAYS 2,82,SAYS
352358.1866,3956752.416,SAYS 3,82,SAYS
352363.1866,3956757.416,SAYS 4,82,SAYS
358846.4668,3956900.796,MPC-1,39,MPC
358820.8648,3956903.33,MPC-2,39,MPC
363106.5566,3956939.914,BST-4,41,BST
363100.5248,3956943.687,BST-3,41,BST
362995.1586,3956952.711,BST-9,41,BST
363061.5242,3956954.219,BST-6,41,BST
363076.9945,3956954.479,BST-5,41,BST
358758.9565,3956955.65,MPC-3,39,MPC
362994.0628,3956958.867,BST-8,41,BST
363103.6131,3956966.014,BST-2,41,BST
363106.3982,3956968.707,BST-1,41,BST
363025.0098,3956976.381,BST-7,41,BST
358674.6326,3957063.747,MPC-5,39,MPC
358713.316,3957066.7,MPC-4,39,MPC
358708.7474,3957067.586,MPC-11,39,MPC
358676.548,3957079.879,MPC-6,39,MPC
358662.9002,3957121.148,MPC-7,39,MPC
358694.9346,3957121.211,MPC-9,39,MPC
358694.4416,3957122.439,MPC-8,39,MPC
358703.4678,3957140.195,MPC-10,39,MPC
353140.8301,3957512.223,SJC-2,24,SJC
353246.9633,3957569.215,SJC-3,24,SJC
353404.6862,3957577.405,SJC-7,24,SJC
353107.3697,3957582.568,SJC-1,24,SJC
353470.854,3957640.182,SJC-4,24,SJC
353515.8089,3957714.816,SJC-5,24,SJC
353545.5205,3957735.832,SJC-6,24,SJC
385045.1007,3958338.425,FRM28,74,FRM
385032.1007,3958341.425,FRM30,74,FRM
385098.1009,3958397.425,FRM22,74,FRM
385089.1011,3958426.426,FRM26,74,FRM
385023.6017,3958490.926,FRM24,74,FRM
384958.1022,3958555.426,FRM23,74,FRM
385101.1028,3958701.427,FRM20,74,FRM
385003.1041,3958893.429,FRM21,74,FRM
385009.1044,3958935.429,FRM17,74,FRM
385050.1046,3958989.429,FRM19,74,FRM
385075.1055,3959144.43,FRM16,74,FRM
384979.1061,3959207.431,FRM10,74,FRM
385110.1059,3959218.431,FRM05,74,FRM
385139.1059,3959218.431,FRM07,74,FRM
385281.1058,3959243.431,FRM15,74,FRM
385058.1062,3959249.431,FRM12,74,FRM
385179.106,3959252.431,FRM11,74,FRM
385011.1065,3959282.431,FRM08,74,FRM
384999.1066,3959291.431,FRM06,74,FRM
385193.1063,3959294.431,FRM09,74,FRM
385020.1066,3959300.431,FRM01,74,FRM
385100.1065,3959303.431,FRM14,74,FRM
384971.1067,3959306.431,FRM03,74,FRM
384994.1067,3959314.431,FRM02,74,FRM
384977.107,3959354.431,FRM04,74,FRM
363938.1318,3959403.872,PER-3,40,PER
385157.1071,3959416.432,FRM13,74,FRM
363847.8261,3959427.042,PER-4,40,PER
363842.8396,3959428.136,PER-5,40,PER
363737.5646,3959477.426,PER-7,40,PER
363721.2589,3959491.139,PER-8,40,PER
363679.4811,3959492.854,PER-9,40,PER
363762.2478,3959494.964,PER-2,40,PER
363764.5584,3959513.901,PER-1,40,PER
378322.1184,3959603.428,CPM13,101,CPM
378341.1184,3959617.428,CPM12,101,CPM
378368.1184,3959643.428,CPM10,101,CPM
378343.1185,3959653.428,CPM14,101,CPM
378372.1185,3959674.429,CPM09,101,CPM
384496.1099,3959729.433,FWH09,103,FWH
384410.1104,3959786.434,FWH08,103,FWH
384612.1101,3959787.434,FWH10,103,FWH
384600.1104,3959839.434,FWH11,103,FWH
384591.1106,3959873.434,FWH12,103,FWH
384408.1109,3959880.434,FWH05,103,FWH
377361.1209,3959954.429,CPM16,101,CPM
384351.1114,3959956.435,FWH04,103,FWH
384893.1107,3959956.435,FWH20,103,FWH
384563.1113,3959978.435,FWH14,103,FWH
376871.1216,3959981.429,CPM17,101,CPM
377401.121,3960002.43,CPM15,101,CPM
384549.1115,3960010.435,FWH15,103,FWH
377630.1207,3960030.43,CPM07,101,CPM
384428,3960045,FWH6115,0,FWH
384409,3960062,FWH6311,0,FWH
384475,3960062,FWH6059,0,FWH
377406.1211,3960064.43,CPM06,101,CPM
377385.1212,3960068.43,CPM05,101,CPM
384431,3960084,FWH3249,0,FWH
384500,3960088,FWH5051,0,FWH
377438.1212,3960091.43,CPM04,101,CPM
384512,3960095,FWH5044,0,FWH
377402.1212,3960095.43,CPM01,101,CPM
377416.1212,3960095.43,CPM02,101,CPM
384512,3960099,FWH4744,0,FWH
384466,3960102,FWH5227,0,FWH
384499,3960106,FWH4824,0,FWH
384449,3960107,FWH3405,0,FWH
384495,3960107,FWH4825,0,FWH
377421.1213,3960108.43,CPM03,101,CPM
384392.1123,3960114.436,FWH03,103,FWH
384535,3960115,FWH4499,0,FWH
384499,3960117,FWH4841,0,FWH
384499,3960117,FWH4899,0,FWH
384553,3960118,FWH5754,0,FWH
384514,3960119,FWH4702,0,FWH
384514,3960132,FWH4543,0,FWH
384559,3960132,FWH4309,0,FWH
384471,3960137,FWH3572,0,FWH
384775.112,3960140.436,FWH19,103,FWH
384710.1121,3960146.436,FWH17,103,FWH
384490,3960150,FWH3651,0,FWH
384557,3960155,FWH4007,0,FWH
384549,3960156,FWH4037,0,FWH
384520,3960162,FWH3881,0,FWH
384514,3960164,FWH3847,0,FWH
384496,3960170,FWH3808,0,FWH
384521,3960170,FWH3912,0,FWH
384537,3960170,FWH3965,0,FWH
384520,3960175,FWH3917,0,FWH
384508,3960176,FWH3833,0,FWH
384718.1123,3960179.436,FWH18,103,FWH
384544,3960180,FWH4112,0,FWH
384620.1125,3960199.437,FWH16,103,FWH
384464.1129,3960227.437,FWH02,103,FWH
384495.1132,3960294.437,FWH01,103,FWH
337027.5263,3960790.992,JCE-9,22,JCE
337049.7172,3960801.181,JCE-6,22,JCE
337030.5529,3960806.283,JCE-8,22,JCE
337006.9477,3960829.913,JCE-10,22,JCE
336969.0902,3960874.941,JCE-1,22,JCE
336961.0459,3960956.302,JCE-2,22,JCE
337071.3286,3960972.355,JCE-4,22,JCE
336988.1966,3960987.737,JCE-5,22,JCE
336956.7604,3960997.283,JCE-3,22,JCE
385000.1191,3961364.444,BAN14,96,BAN
384810.1196,3961424.444,BAN13,96,BAN
383940.1207,3961514.444,BAN19,96,BAN
372363.1296,3961589.433,CPU05,102,CPU
372353.1296,3961611.433,CPU01,102,CPU
372331.7502,3961616.621,CPU02,102,CPU
372374.2031,3961622.158,CPU07,102,CPU
372350.1296,3961627.433,CPU03,102,CPU
372368.1297,3961716.434,CPU08,102,CPU
384680.1216,3961754.446,BAN15,96,BAN
372219.1299,3961874.435,CPU09,102,CPU
372201.13,3961883.435,CPU10,102,CPU
384590.1237,3962094.448,BAN05,96,BAN
383880.1241,3962104.448,BAN16,96,BAN
384570.1239,3962134.449,BAN06,96,BAN
383730.1246,3962184.448,BAN17,96,BAN
340469,3962270,TOV058,87,TOV
340543,3962337,TOV052,87,TOV
384230.1253,3962344.45,BAN69,96,BAN
340435,3962542,TOV027,87,TOV
340448,3962550,TOV026,87,TOV
340468,3962555,TOV023,87,TOV
340430,3962577,TOV030,87,TOV
340673,3962583,TOV005,87,TOV
352588,3962602,MCN331,133,gp101
352588,3962602,MCN332,133,gp101
352588,3962602,MCN334,133,gp101
352588,3962602,MCN335,133,gp101
340679,3962613,TOV002,87,TOV
352983,3962633,MCN956,136,gp103
352983,3962633,MCN957,136,gp103
353598,3962645,MCN1609,138,gp106
353598,3962645,MCN1610,138,gp106
353598,3962645,MCN1611,138,gp106
353598,3962645,MCN961,138,gp106
353598,3962645,MCN998,138,gp106
360602.5993,3962649.88,LOG13,107,LOG
352799,3962653,MCN1616,135,gp102
352799,3962653,MCN1617,135,gp102
352799,3962653,MCN1618,135,gp102
360648.0702,3962653.378,LOG05,107,LOG
360718.0256,3962655.127,LOG10,107,LOG
340740,3962656,TOV022,87,TOV
353800,3962657,MCN337,139,gp107
353800,3962657,MCN338,139,gp107
353800,3962657,MCN339,139,gp107
353392,3962664,MCN340,137,gp105
353392,3962664,MCN341,137,gp105
